"cID" "DRUGS"
"304" 16 "bufexamac"
"305" 58 "buflomedil"
"306" 37 "bumetanide"
"307" 37 "bupivacaine"
"308" 13 "bupropion"
"309" 7 "buspirone"
"310" 4 "butacaine"
"311" 84 "butamben"
"312" 51 "butein"
"313" 39 "butirosin"
"314" 62 "butoconazole"
"315" 58 "butyl_hydroxybenzoate"
"316" 19 "caffeic_acid"
"317" 38 "calcium_folinate"
"318" 32 "calcium_pantothenate"
"319" 100 "calmidazolium"
"320" 6 "calycanthine"
"321" 14 "camptothecin"
"322" 29 "canadine"
"323" 99 "canavanine"
"324" 4 "canrenoic_acid"
"325" 89 "cantharidin"
"326" 90 "capsaicin"
"327" 22 "captopril"
"328" 52 "carbachol"
"329" 4 "carbamazepine"
"330" 68 "carbarsone"
"331" 97 "carbenoxolone"
"332" 27 "carbimazole"
"333" 39 "carbinoxamine"
"334" 68 "carcinine"
"335" 12 "carisoprodol"
"336" 104 "carmustine"
"337" 33 "carteolol"
"338" 72 "cefaclor"
"339" 95 "cefadroxil"
"340" 90 "cefalexin"
"341" 67 "cefalonium"
"342" 32 "cefalotin"
"343" 21 "cefamandole"
"344" 7 "cefapirin"
"345" 5 "cefazolin"
"346" 5 "cefepime"
"347" 47 "cefixime"
"348" 84 "cefmetazole"
"349" 34 "cefoperazone"
"350" 29 "ceforanide"
"351" 31 "cefotaxime"
"352" 7 "cefotetan"
"353" 29 "cefotiam"
"354" 83 "cefoxitin"
"355" 52 "cefsulodin"
"356" 61 "ceftazidime"
"357" 13 "cefuroxime"
"358" 40 "celastrol"
"359" 65 "celecoxib"
"360" 53 "cephaeline"
"361" 90 "cetirizine"
"362" 37 "chenodeoxycholic_acid"
"363" 22 "chlorambucil"
"364" 41 "chloramphenicol"
"365" 100 "chlorcyclizine"
"366" 42 "chlorhexidine"
"367" 7 "chlormezanone"
"368" 27 "chlorogenic_acid"
"369" 100 "chloropyramine"
"370" 71 "chloropyrazine"
"371" 48 "chloroquine"
"372" 34 "chlorphenamine"
"373" 60 "chlorphenesin"
"374" 100 "chlorpromazine"
"375" 58 "chlorpropamide"
"376" 100 "chlorprothixene"
"377" 83 "chlortalidone"
"378" 42 "chlortetracycline"
"379" 42 "chlorzoxazone"
"380" 32 "chrysin"
"381" 22 "ciclacillin"
"382" 53 "cicloheximide"
"383" 3 "ciclopirox"
"384" 43 "ciclosporin"
"385" 31 "cimetidine"
"386" 52 "cinchocaine"
"387" 5 "cinchonidine"
"388" 29 "cinchonine"
"389" 7 "cinnarizine"
"390" 52 "cinoxacin"
"391" 71 "ciprofibrate"
"392" 5 "ciprofloxacin"
"393" 52 "cisapride"
"394" 11 "citalopram"
"395" 59 "citiolone"
"396" 33 "clebopride"
"397" 100 "clemastine"
"398" 101 "clemizole"
"399" 88 "clenbuterol"
"400" 83 "clidinium_bromide"
"401" 42 "clindamycin"
"402" 62 "clioquinol"
"403" 90 "clobetasol"
"404" 62 "clofazimine"
"405" 78 "clofibrate"
"406" 100 "clofilium_tosylate"
"407" 100 "clomifene"
"408" 60 "clomipramine"
"409" 13 "clonidine"
"410" 42 "clopamide"
"411" 100 "cloperastine"
"412" 90 "clorgiline"
"413" 27 "clorsulon"
"414" 62 "clotrimazole"
"415" 80 "cloxacillin"
"416" 100 "clozapine"
"417" 100 "co-dergocrine_mesilate"
"418" 44 "cobalt_chloride"
"419" 69 "colchicine"
"420" 90 "colecalciferol"
"421" 3 "colforsin"
"422" 99 "colistin"
"423" 105 "conessine"
"424" 5 "convolamine"
"425" 45 "copper_sulfate"
"426" 33 "coralyne"
"427" 46 "corbadrine"
"428" 6 "corticosterone"
"429" 90 "cortisone"
"430" 31 "corynanthine"
"431" 19 "cotinine"
"432" 39 "cromoglicic_acid"
"433" 52 "crotamiton"
"434" 47 "cyanocobalamin"
"435" 68 "cyclic_adenosine_monophosphate"
"436" 61 "cyclizine"
"437" 100 "cyclobenzaprine"
"438" 96 "cyclopenthiazide"
"439" 13 "cyclopentolate"
"440" 90 "cycloserine"
"441" 40 "cyproheptadine"
"442" 90 "cyproterone"
"443" 90 "cytisine"
"444" 100 "cytochalasin_B"
"445" 89 "dacarbazine"
"446" 42 "danazol"
"447" 56 "dantrolene"
"448" 27 "dapsone"
"449" 14 "daunorubicin"
"450" 6 "debrisoquine"
"451" 72 "decamethonium_bromide"
"452" 4 "decitabine"
"453" 3 "deferoxamine"
"454" 19 "dehydrocholic_acid"
"455" 85 "delsoline"
"456" 71 "demecarium_bromide"
"457" 13 "demeclocycline"
"458" 48 "demecolcine"
"459" 90 "denatonium_benzoate"
"460" 19 "deptropine"
"461" 4 "depudecin"
"462" 62 "dequalinium_chloride"
"463" 100 "desipramine"
"464" 89 "desoxycortone"
"465" 60 "dexamethasone"
"466" 73 "dexibuprofen"
"467" 25 "dexpanthenol"
"468" 90 "dexpropranolol"
"469" 32 "dextromethorphan"
"470" 49 "dexverapamil"
"471" 7 "diazoxide"
"472" 13 "diclofenac"
"473" 15 "diclofenamide"
"474" 103 "dicloxacillin"
"475" 50 "dicoumarol"
"476" 40 "dicycloverine"
"477" 40 "dienestrol"
"478" 37 "diethylcarbamazine"
"479" 43 "diethylstilbestrol"
"480" 90 "difenidol"
"481" 105 "diflorasone"
"482" 7 "diflunisal"
"483" 63 "digitoxigenin"
"484" 63 "digoxigenin"
"485" 63 "digoxin"
"486" 100 "dihydroergocristine"
"487" 34 "dihydroergotamine"
"488" 40 "dihydrostreptomycin"
"489" 11 "dilazep"
"490" 57 "diloxanide"
"491" 73 "diltiazem"
"492" 37 "dimenhydrinate"
"493" 52 "dimethadione"
"494" 51 "dimethyloxalylglycine"
"495" 106 "dinoprost"
"496" 19 "dinoprostone"
"497" 102 "dioxybenzone"
"498" 100 "diperodon"
"499" 6 "diphemanil_metilsulfate"
"500" 79 "diphenhydramine"
"501" 100 "diphenylpyraline"
"502" 19 "dipivefrine"
"503" 16 "diprophylline"
"504" 89 "dipyridamole"
"505" 42 "dirithromycin"
"506" 19 "disopyramide"
"507" 40 "disulfiram"
"508" 3 "dizocilpine"
"509" 68 "dl-alpha_tocopherol"
"510" 69 "dobutamine"
"511" 24 "docosahexaenoic_acid_ethyl_ester"
"512" 88 "domperidone"
"513" 44 "dopamine"
"514" 58 "dorzolamide"
"515" 34 "dosulepin"
"516" 52 "doxazosin"
"517" 100 "doxepin"
"518" 14 "doxorubicin"
"519" 83 "doxycycline"
"520" 31 "doxylamine"
"521" 39 "drofenine"
"522" 7 "droperidol"
"523" 37 "dropropizine"
"524" 40 "dyclonine"
"525" 52 "dydrogesterone"
"526" 46 "ebselen"
"527" 40 "econazole"
"528" 52 "edrophonium_chloride"
"529" 59 "eldeline"
"530" 14 "ellipticine"
"531" 53 "emetine"
"532" 37 "enalapril"
"533" 35 "enilconazole"
"534" 29 "enoxacin"
"535" 81 "epiandrosterone"
"536" 25 "epirizole"
"537" 67 "epitiostanol"
"538" 89 "epivincamine"
"539" 43 "equilin"
"540" 62 "erastin"
"541" 7 "ergocalciferol"
"542" 19 "erythromycin"
"543" 54 "esculetin"
"544" 52 "esculin"
"545" 6 "estradiol"
"546" 85 "estriol"
"547" 43 "estrone"
"548" 55 "estropipate"
"549" 104 "etacrynic_acid"
"550" 61 "etamivan"
"551" 89 "etamsylate"
"552" 90 "etanidazole"
"553" 8 "ethambutol"
"554" 52 "ethaverine"
"555" 92 "ethionamide"
"556" 56 "ethisterone"
"557" 90 "ethosuximide"
"558" 32 "ethotoin"
"559" 50 "ethoxyquin"
"560" 57 "eticlopride"
"561" 32 "etidronic_acid"
"562" 8 "etifenin"
"563" 106 "etilefrine"
"564" 27 "etiocholanolone"
"565" 6 "etodolac"
"566" 90 "etofenamate"
"567" 41 "etofylline"
"568" 85 "etomidate"
"569" 3 "etoposide"
"570" 27 "etynodiol"
"571" 90 "eucatropine"
"572" 49 "exemestane"
"573" 91 "exisulind"
"574" 60 "famotidine"
"575" 90 "famprofazone"
"576" 1 "fasudil"
"577" 57 "felbinac"
"578" 62 "felodipine"
"579" 69 "fenbendazole"
"580" 58 "fenbufen"
"581" 40 "fendiline"
"582" 37 "fenofibrate"
"583" 58 "fenoprofen"
"584" 73 "fenoterol"
"585" 74 "fenspiride"
"586" 26 "finasteride"
"587" 61 "fipexide"
"588" 14 "fisetin"
"589" 82 "flavoxate"
"590" 50 "flecainide"
"591" 102 "florfenicol"
"592" 86 "flucloxacillin"
"593" 102 "flucytosine"
"594" 29 "fludrocortisone"
"595" 59 "fludroxycortide"
"596" 13 "flufenamic_acid"
"597" 89 "flumequine"
"598" 58 "flumetasone"
"599" 90 "flunarizine"
"600" 59 "flunisolide"
"601" 32 "flunixin"
"602" 90 "fluocinonide"
"603" 52 "fluorocurarine"
"604" 90 "fluorometholone"
"605" 100 "fluoxetine"
"606" 100 "flupentixol"
"607" 100 "fluphenazine"
"608" 102 "flurbiprofen"
"609" 100 "fluspirilene"
"610" 93 "flutamide"
"611" 72 "fluticasone"
"612" 102 "fluvastatin"
"613" 100 "fluvoxamine"
"614" 72 "folic_acid"
"615" 62 "foliosidine"
"616" 99 "fosfosal"
"617" 28 "fulvestrant"
"618" 90 "furaltadone"
"619" 97 "furazolidone"
"620" 29 "furosemide"
"621" 72 "fursultiamine"
"622" 8 "fusaric_acid"
"623" 16 "fusidic_acid"
"624" 46 "gabapentin"
"625" 36 "gabexate"
"626" 99 "galantamine"
"627" 14 "gallamine_triethiodide"
"628" 90 "ganciclovir"
"629" 60 "gefitinib"
"630" 28 "geldanamycin"
"631" 105 "gelsemine"
"632" 31 "gemfibrozil"
"633" 19 "genistein"
"634" 27 "gentamicin"
"635" 67 "gibberellic_acid"
"636" 89 "ginkgolide_A"
"637" 19 "glafenine"
"638" 42 "glibenclamide"
"639" 61 "gliclazide"
"640" 42 "glimepiride"
"641" 19 "glipizide"
"642" 35 "gliquidone"
"643" 19 "glycocholic_acid"
"644" 38 "glycopyrronium_bromide"
"645" 62 "gossypol"
"646" 13 "gramine"
"647" 93 "griseofulvin"
"648" 3 "guaifenesin"
"649" 26 "guanabenz"
"650" 38 "guanadrel"
"651" 60 "guanethidine"
"652" 68 "guanfacine"
"653" 59 "halcinonide"
"654" 54 "halofantrine"
"655" 5 "haloperidol"
"656" 19 "harmaline"
"657" 20 "harmalol"
"658" 32 "harman"
"659" 32 "harmine"
"660" 32 "harmol"
"661" 72 "harpagoside"
"662" 46 "hecogenin"
"663" 32 "heliotrine"
"664" 63 "helveticoside"
"665" 54 "hemicholinium"
"666" 79 "heptaminol"
"667" 19 "hesperetin"
"668" 73 "hesperidin"
"669" 60 "hexamethonium_bromide"
"670" 90 "hexestrol"
"671" 100 "hexetidine"
"672" 6 "hexylcaine"
"673" 27 "homatropine"
"674" 100 "homochlorcyclizine"
"675" 22 "homosalate"
"676" 3 "hycanthone"
"677" 74 "hydralazine"
"678" 13 "hydrastine_hydrochloride"
"679" 42 "hydrastinine"
"680" 12 "hydrochlorothiazide"
"681" 102 "hydrocortisone"
"682" 89 "hydrocotarnine"
"683" 4 "hydroflumethiazide"
"684" 63 "hydroquinine"
"685" 13 "hydroxyachillin"
"686" 6 "hydroxyzine"
"687" 88 "hymecromone"
"688" 64 "hyoscyamine"
"689" 31 "idazoxan"
"690" 16 "idoxuridine"
"691" 90 "ifenprodil"
"692" 13 "ifosfamide"
"693" 4 "ikarugamycin"
"694" 98 "iloprost"
"695" 65 "imatinib"
"696" 41 "imidurea"
"697" 74 "imipenem"
"698" 100 "imipramine"
"699" 20 "indapamide"
"700" 44 "indometacin"
"701" 67 "indoprofen"
"702" 61 "iobenguane"
"703" 92 "iocetamic_acid"
"704" 97 "iodixanol"
"705" 72 "iohexol"
"706" 40 "ionomycin"
"707" 29 "iopamidol"
"708" 82 "iopanoic_acid"
"709" 83 "iopromide"
"710" 52 "ioversol"
"711" 87 "ioxaglic_acid"
"712" 89 "ipratropium_bromide"
"713" 80 "iproniazid"
"714" 32 "irinotecan"
"715" 5 "isocarboxazid"
"716" 34 "isoconazole"
"717" 60 "isocorydine"
"718" 46 "isoetarine"
"719" 27 "isoflupredone"
"720" 27 "isometheptene"
"721" 29 "isoniazid"
"722" 39 "isopropamide_iodide"
"723" 66 "isosorbide"
"724" 40 "isotretinoin"
"725" 27 "isoxicam"
"726" 31 "isoxsuprine"
"727" 62 "isradipine"
"728" 100 "ivermectin"
"729" 60 "josamycin"
"730" 3 "kaempferol"
"731" 49 "kanamycin"
"732" 66 "karakoline"
"733" 101 "kawain"
"734" 90 "ketanserin"
"735" 88 "ketoconazole"
"736" 89 "ketoprofen"
"737" 74 "ketorolac"
"738" 27 "ketotifen"
"739" 38 "khellin"
"740" 55 "kinetin"
"741" 13 "labetalol"
"742" 68 "lactobionic_acid"
"743" 63 "lanatoside_C"
"744" 87 "lansoprazole"
"745" 100 "lasalocid"
"746" 90 "latamoxef"
"747" 89 "laudanosine"
"748" 84 "leflunomide"
"749" 67 "letrozole"
"750" 52 "levamisole"
"751" 22 "levcycloserine"
"752" 30 "levobunolol"
"753" 31 "levocabastine"
"754" 19 "levodopa"
"755" 100 "levomepromazine"
"756" 58 "levonorgestrel"
"757" 36 "levopropoxyphene"
"758" 5 "levothyroxine_sodium"
"759" 1 "lidocaine"
"760" 13 "lidoflazine"
"761" 6 "lincomycin"
"762" 90 "liothyronine"
"763" 74 "lisinopril"
"764" 26 "lisuride"
"765" 22 "lithocholic_acid"
"766" 19 "lobelanidine"
"767" 42 "lobeline"
"768" 52 "lomefloxacin"
"769" 104 "lomustine"
"770" 100 "loperamide"
"771" 79 "loracarbef"
"772" 90 "lorglumide"
"773" 100 "lovastatin"
"774" 40 "loxapine"
"775" 68 "lumicolchicine"
"776" 32 "luteolin"
"777" 63 "lycorine"
"778" 32 "lymecycline"
"779" 40 "lynestrenol"
"780" 32 "lysergol"
"781" 29 "mafenide"
"782" 100 "maprotiline"
"783" 69 "mebendazole"
"784" 19 "mebeverine"
"785" 68 "mebhydrolin"
"786" 7 "mecamylamine"
"787" 12 "meclocycline"
"788" 80 "meclofenamic_acid"
"789" 58 "meclofenoxate"
"790" 90 "meclozine"
"791" 90 "medrysone"
"792" 25 "mefenamic_acid"
"793" 80 "mefexamide"
"794" 34 "mefloquine"
"795" 27 "megestrol"
"796" 102 "meglumine"
"797" 7 "melatonin"
"798" 72 "memantine"
"799" 89 "menadione"
"800" 16 "mepacrine"
"801" 59 "mepenzolate_bromide"
"802" 21 "mephenesin"
"803" 67 "mephentermine"
"804" 71 "mephenytoin"
"805" 58 "meprylcaine"
"806" 106 "meptazinol"
"807" 49 "mepyramine"
"808" 27 "merbromin"
"809" 62 "mercaptopurine"
"810" 52 "meropenem"
"811" 49 "mesalazine"
"812" 61 "mesoridazine"
"813" 99 "mestranol"
"814" 32 "metacycline"
"815" 90 "metamizole_sodium"
"816" 72 "metampicillin"
"817" 4 "metanephrine"
"818" 93 "metaraminol"
"819" 70 "meteneprost"
"820" 100 "metergoline"
"821" 6 "metformin"
"822" 13 "methacholine_chloride"
"823" 71 "methanthelinium_bromide"
"824" 90 "methapyrilene"
"825" 42 "methazolamide"
"826" 5 "methocarbamol"
"827" 75 "methotrexate"
"828" 72 "methoxamine"
"829" 103 "methoxsalen"
"830" 100 "methylbenzethonium_chloride"
"831" 89 "methyldopa"
"832" 72 "methyldopate"
"833" 73 "methylergometrine"
"834" 90 "methylprednisolone"
"835" 74 "meticrane"
"836" 100 "metitepine"
"837" 100 "metixene"
"838" 66 "metoclopramide"
"839" 19 "metolazone"
"840" 55 "metoprolol"
"841" 25 "metrifonate"
"842" 35 "metrizamide"
"843" 29 "metronidazole"
"844" 32 "metyrapone"
"845" 90 "mevalolactone"
"846" 20 "mexiletine"
"847" 40 "mianserin"
"848" 62 "miconazole"
"849" 49 "midecamycin"
"850" 26 "midodrine"
"851" 62 "mifepristone"
"852" 85 "milrinone"
"853" 15 "mimosine"
"854" 31 "minaprine"
"855" 5 "minocycline"
"856" 96 "minoxidil"
"857" 14 "mitoxantrone"
"858" 106 "molindone"
"859" 4 "molsidomine"
"860" 40 "mometasone"
"861" 17 "monastrol"
"862" 100 "monensin"
"863" 90 "monobenzone"
"864" 4 "monocrotaline"
"865" 28 "monorden"
"866" 87 "moracizine"
"867" 74 "morantel"
"868" 29 "moroxydine"
"869" 25 "moxisylyte"
"870" 95 "moxonidine"
"871" 75 "mycophenolic_acid"
"872" 19 "myosmine"
"873" 104 "myricetin"
"874" 82 "nabumetone"
"875" 84 "nadide"
"876" 27 "nadolol"
"877" 8 "nafcillin"
"878" 102 "naftidrofuryl"
"879" 62 "naftifine"
"880" 106 "naftopidil"
"881" 40 "nalbuphine"
"882" 93 "nalidixic_acid"
"883" 90 "naloxone"
"884" 6 "naltrexone"
"885" 55 "napelline"
"886" 73 "naphazoline"
"887" 74 "naproxen"
"888" 43 "naringenin"
"889" 52 "naringin"
"890" 52 "natamycin"
"891" 101 "nefopam"
"892" 76 "neomycin"
"893" 47 "neostigmine_bromide"
"894" 87 "netilmicin"
"895" 22 "nialamide"
"896" 49 "nicardipine"
"897" 34 "nicergoline"
"898" 62 "niclosamide"
"899" 102 "nicotinic_acid"
"900" 32 "nifedipine"
"901" 49 "nifenazone"
"902" 37 "niflumic_acid"
"903" 69 "nifuroxazide"
"904" 90 "nifurtimox"
"905" 19 "nilutamide"
"906" 60 "nimesulide"
"907" 77 "nimodipine"
"908" 74 "nipecotic_acid"
"909" 41 "niridazole"
"910" 61 "nisoxetine"
"911" 77 "nitrendipine"
"912" 29 "nitrofural"
"913" 90 "nitrofurantoin"
"914" 79 "nizatidine"
"915" 69 "nocodazole"
"916" 33 "nomegestrol"
"917" 76 "nomifensine"
"918" 100 "norcyclobenzaprine"
"919" 34 "nordihydroguaiaretic_acid"
"920" 90 "norethisterone"
"921" 5 "noretynodrel"
"922" 74 "norfloxacin"
"923" 100 "nortriptyline"
"924" 7 "noscapine"
"925" 1 "novobiocin"
"926" 36 "nystatin"
"927" 41 "octopamine"
"928" 93 "ofloxacin"
"929" 61 "oleandomycin"
"930" 78 "oligomycin"
"931" 90 "omeprazole"
"932" 71 "ondansetron"
"933" 73 "orciprenaline"
"934" 19 "orlistat"
"935" 19 "ornidazole"
"936" 100 "orphenadrine"
"937" 63 "ouabain"
"938" 45 "oxamic_acid"
"939" 8 "oxamniquine"
"940" 5 "oxantel"
"941" 7 "oxaprozin"
"942" 69 "oxedrine"
"943" 31 "oxetacaine"
