MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Evacetrapib,Cholesteryl ester transfer protein inhibitor,Cholesteryl ester transfer protein
Lonafarnib,Protein farnesyltransferase inhibitor,Protein farnesyltransferase
Ertugliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Prexasertib,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Begelomab,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Bavituximab,Phosphatidylserine inhibitor,Phosphatidylserine
Mln-1202,C-C chemokine receptor type 2 antagonist,C-C chemokine receptor type 2
Ame-133v,Integrin beta-2 inhibitor,Integrin beta-2
81c6,Tenascin binding agent,Tenascin
L19tnfa,Fibronectin binding agent,Fibronectin
Perindopril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Thiothixene,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Olmesartan Medoxomil,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Insulin Purified Beef,Insulin receptor agonist,Insulin receptor
Loxapine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Anisindione,Vitamin K-dependent gamma-carboxylase inhibitor,Vitamin K-dependent gamma-carboxylase
Levorphanol,Mu opioid receptor agonist,Mu opioid receptor
Dihydrocodeine,Mu opioid receptor agonist,Mu opioid receptor
Prednisone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Betamethasone Acetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Pazopanib,Fibroblast growth factor receptor 3 inhibitor,Fibroblast growth factor receptor 3
Mifepristone,Progesterone receptor antagonist,Progesterone receptor
Atorvastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Memantine,Glutamate [NMDA] receptor negative allosteric modulator,Glutamate [NMDA] receptor
Guanabenz,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Bicalutamide,Androgen Receptor antagonist,Androgen Receptor
Nadolol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Imiquimod,Toll-like receptor 7 agonist,Toll-like receptor 7
Sulconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Ganciclovir,Human herpesvirus 1 DNA polymerase inhibitor,Human herpesvirus 1 DNA polymerase
Yttrium Y 90 Ibritumomab Tiuxetan,B-lymphocyte antigen CD20 binding agent,B-lymphocyte antigen CD20
Pancuronium,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
Enflurane,GABA-A receptor; anion channel positive modulator,GABA-A receptor; anion channel
Benzylpenicillin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Malathion,Acetylcholinesterase inhibitor,Acetylcholinesterase
Dirithromycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Interferon Alfa-2a,Interferon alpha/beta receptor agonist,Interferon alpha/beta receptor
Bleomycin,DNA inhibitor,DNA
Niclosamide,DNA inhibitor,DNA
Lidocaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Pyrvinium,Unknown,
Parathyroid Hormone,Parathyroid hormone receptor agonist,Parathyroid hormone receptor
Dapagliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Alirocumab,Subtilisin/kexin type 9 inhibitor,Subtilisin/kexin type 9
Evolocumab,Subtilisin/kexin type 9 inhibitor,Subtilisin/kexin type 9
Mln-0128,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Cudc-101,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Hm-71224,Tyrosine-protein kinase BTK inhibitor,Tyrosine-protein kinase BTK
Prt-2607,Tyrosine-protein kinase SYK inhibitor,Tyrosine-protein kinase SYK
Rg-7376,Serine/threonine-protein kinase RAF inhibitor,Serine/threonine-protein kinase RAF
Zd-4190,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Qaf805,Adenosine A2b receptor antagonist,Adenosine A2b receptor
Irampanel,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Cp-778875,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Naveglitazar,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Crenolanib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Insm-18,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Ipatasertib,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Sar-407899,Rho-associated protein kinase inhibitor,Rho-associated protein kinase
Sb-649868,Orexin receptor 1 antagonist,Orexin receptor 1
Barusiban,Oxytocin receptor antagonist,Oxytocin receptor
Gw468816,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
Av-101,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
Ama0076,Rho-associated protein kinase inhibitor,Rho-associated protein kinase
Dasolampanel,Glutamate receptor ionotropic kainate 1 antagonist,Glutamate receptor ionotropic kainate 1
Barasertib,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Tanezumab,Beta-nerve growth factor inhibitor,Beta-nerve growth factor
Crolibulin,Tubulin inhibitor,Tubulin
Veliparib,"PARP 1, 2 and 3 inhibitor","PARP 1, 2 and 3"
Mifamurtide,Nucleotide-binding oligomerization domain-containing protein 2 other,Nucleotide-binding oligomerization domain-containing protein 2
Tarenflurbil,Gamma-secretase modulator,Gamma-secretase
Begacestat,Gamma-secretase inhibitor,Gamma-secretase
Vildagliptin,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Liafensine,Monoamine transporter inhibitor,Monoamine transporter
Selurampanel,Glutamate receptor ionotropic kainate antagonist,Glutamate receptor ionotropic kainate
Zanolimumab,T-cell surface antigen CD4 other,T-cell surface antigen CD4
Methocarbamol,Carbonic anhydrase I inhibitor,Carbonic anhydrase I
Acetazolamide,Carbonic anhydrase II inhibitor,Carbonic anhydrase II
Epinastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Avanafil,Phosphodiesterase 5A inhibitor,Phosphodiesterase 5A
Aripiprazole,Dopamine D2 receptor partial agonist,Dopamine D2 receptor
Carbidopa,DOPA decarboxylase inhibitor,DOPA decarboxylase
Latanoprost,Prostanoid FP receptor agonist,Prostanoid FP receptor
Desoxycorticosterone Acetate,Mineralocorticoid receptor agonist,Mineralocorticoid receptor
Dexmethylphenidate,Dopamine transporter inhibitor,Dopamine transporter
Hydrocortisone Valerate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Sucralfate,Pepsin A inhibitor,Pepsin A
Halofantrine,Ferriprotoporphyrin IX inhibitor,Ferriprotoporphyrin IX
Ulipristal Acetate,Progesterone receptor modulator,Progesterone receptor
Nicotine,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Neuronal acetylcholine receptor; alpha4/beta2
Dyphylline,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Rifaximin,Bacterial DNA-directed RNA polymerase inhibitor,Bacterial DNA-directed RNA polymerase
Docosanol,Envelope glycoprotein inhibitor,Envelope glycoprotein
Mafenide,Bacterial dihydropteroate synthase inhibitor,Bacterial dihydropteroate synthase
Methacycline,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Cysteamine,Cystine reducing agent,Cystine
Phenacemide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Asparaginase,Asparagine hydrolytic enzyme,Asparagine
Pd-0166285,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Msx-122,C-X-C chemokine receptor type 4 antagonist,C-X-C chemokine receptor type 4
Aee-788,Vascular endothelial growth factor receptor 1 inhibitor,Vascular endothelial growth factor receptor 1
Brigatinib,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Ci-1040,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Tandutinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Pg-760564,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
(7s)-Hydroxyl-Staurosporine,Cyclin-dependent kinase 4 inhibitor,Cyclin-dependent kinase 4
X-82,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Xl-999,Fibroblast growth factor receptor inhibitor,Fibroblast growth factor receptor
Sb-649868,Orexin receptor 2 antagonist,Orexin receptor 2
Nelotanserin,Serotonin 2a (5-HT2a) receptor inverse agonist,Serotonin 2a (5-HT2a) receptor
Brivanib,Fibroblast growth factor receptor inhibitor,Fibroblast growth factor receptor
Ritobegron,Beta-3 adrenergic receptor agonist,Beta-3 adrenergic receptor
Onartuzumab,Hepatocyte growth factor receptor antagonist,Hepatocyte growth factor receptor
Apricoxib,Cyclooxygenase-2 inhibitor,Cyclooxygenase-2
Polmacoxib,Cyclooxygenase-2 inhibitor,Cyclooxygenase-2
Guselkumab,Interleukin-23 subunit alpha inhibitor,Interleukin-23 subunit alpha
Ertumaxomab,Receptor protein-tyrosine kinase erbB-2 other,Receptor protein-tyrosine kinase erbB-2
Quilizumab,Ig epsilon chain C region inhibitor,Ig epsilon chain C region
Edobacomab,Lipopolysaccharide (LPS) other,Lipopolysaccharide (LPS)
Dipraglurant,Metabotropic glutamate receptor 5 modulator,Metabotropic glutamate receptor 5
Tm30339,Neuropeptide Y receptor type 4 agonist,Neuropeptide Y receptor type 4
Fesoterodine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Darbepoetin Alfa,Erythropoietin receptor agonist,Erythropoietin receptor
Golimumab,TNF-alpha inhibitor,TNF-alpha
Temsirolimus,FK506-binding protein 1A inhibitor,FK506-binding protein 1A
Clofibrate,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Testolactone,Cytochrome P450 19A1 inhibitor,Cytochrome P450 19A1
Eletriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Carphenazine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Ziprasidone,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Decitabine,DNA (cytosine-5)-methyltransferase 3A inhibitor,DNA (cytosine-5)-methyltransferase 3A
Anileridine,Mu opioid receptor agonist,Mu opioid receptor
Dezocine,Mu opioid receptor partial agonist,Mu opioid receptor
Topiramate,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
"Estrogens, Esterified",Estrogen receptor agonist,Estrogen receptor
Omeprazole,Potassium-transporting ATPase inhibitor,Potassium-transporting ATPase
Tamsulosin,Adrenergic receptor alpha-1 antagonist,Adrenergic receptor alpha-1
Caspofungin,"1,3-beta-glucan synthase inhibitor","1,3-beta-glucan synthase"
Saquinavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Triazolam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Carbenicillin Indanyl,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Amoxicillin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Dacarbazine,DNA inhibitor,DNA
Norfloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Cytarabine,DNA polymerase (alpha/delta/epsilon) inhibitor,DNA polymerase (alpha/delta/epsilon)
Fludarabine Phosphate,DNA polymerase (alpha/delta/epsilon) inhibitor,DNA polymerase (alpha/delta/epsilon)
Chloroprocaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Thioridazine,D2-like dopamine receptor antagonist,D2-like dopamine receptor
Phenyl Aminosalicylate,Unknown,
Polidocanol,Unknown,
Riboflavin 5'-Phosphate,Unknown,
Sodium Phosphate,Unknown,
Riociguat,Soluble guanylate cyclase positive allosteric modulator,Soluble guanylate cyclase
Mk-1496,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Panulisib,Serine/threonine-protein kinase receptor R3 inhibitor,Serine/threonine-protein kinase receptor R3
Rgb-286638,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Ro-4987655,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Scio-323,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Tak-733,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Zyh7,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Ave8134,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Sotrastaurin,Protein kinase C (PKC) inhibitor,Protein kinase C (PKC)
Aee-788,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Azm-475271,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Elzasonan,Serotonin 1d (5-HT1d) receptor antagonist,Serotonin 1d (5-HT1d) receptor
Bay1067197,Adenosine A1 receptor agonist,Adenosine A1 receptor
Tc-6987,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Altinicline,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Neuronal acetylcholine receptor; alpha4/beta2
Neratinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Baricitinib,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Vatalanib,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Orantinib,Fibroblast growth factor receptor inhibitor,Fibroblast growth factor receptor
Naluzotan,Serotonin 1a (5-HT1a) receptor agonist,Serotonin 1a (5-HT1a) receptor
Dalcetrapib,Cholesteryl ester transfer protein inhibitor,Cholesteryl ester transfer protein
Dabigatran,Thrombin inhibitor,Thrombin
Vosaroxin,DNA topoisomerase II inhibitor,DNA topoisomerase II
Di17e6,Integrin alpha-V/beta-5 inhibitor,Integrin alpha-V/beta-5
Carlumab,C-C motif chemokine 2 inhibitor,C-C motif chemokine 2
Teneliximab,Tumor necrosis factor receptor superfamily member 5 partial agonist,Tumor necrosis factor receptor superfamily member 5
Placulumab,TNF-alpha inhibitor,TNF-alpha
Trandolapril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Azatadine,Histamine H1 receptor antagonist,Histamine H1 receptor
Hydroxyzine,Histamine H1 receptor antagonist,Histamine H1 receptor
Adalimumab,TNF-alpha inhibitor,TNF-alpha
Benzquinamide,Dopamine D2 receptor modulator,Dopamine D2 receptor
Panitumumab,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Trihexyphenidyl,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Furosemide,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Sodium-(potassium)-chloride cotransporter 2
Sumatriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Frovatriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Asenapine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Trazodone,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Raloxifene,Estrogen receptor beta modulator,Estrogen receptor beta
Modafinil,Dopamine transporter inhibitor,Dopamine transporter
Amoxapine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Dydrogesterone,Progesterone receptor agonist,Progesterone receptor
Trastuzumab Emtansine,Tubulin inhibitor,Tubulin
Pazopanib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Abciximab,Integrin alpha-V/beta-3 inhibitor,Integrin alpha-V/beta-3
Terbinafine,Squalene monooxygenase inhibitor,Squalene monooxygenase
Mazindol,Monoamine transporter inhibitor,Monoamine transporter
Alprazolam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Topiramate,GABA-A receptor; anion channel positive modulator,GABA-A receptor; anion channel
Cefmenoxime,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Ertapenem,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Clindamycin Phosphate,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Tigecycline,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Tetracycline,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Ethanolamine Oleate,Calcium chelating agent,Calcium
Cyclophosphamide,DNA inhibitor,DNA
Daunorubicin,DNA inhibitor,DNA
Gabapentin,Voltage-gated calcium channel modulator,Voltage-gated calcium channel
Sevoflurane,Potassium channel subfamily K member 18 opener,Potassium channel subfamily K member 18
Gadoxetic Acid,Unknown,
Estramustine Phosphate,DNA inhibitor,DNA
Azd-7451,Neurotrophic tyrosine kinase receptor type 2 inhibitor,Neurotrophic tyrosine kinase receptor type 2
Bms-387032,Cyclin-dependent kinase 2 inhibitor,Cyclin-dependent kinase 2
Ono-4059,Tyrosine-protein kinase BTK inhibitor,Tyrosine-protein kinase BTK
Pki-179,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Tg-02,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Wx-554,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Cipralisant,Histamine H3 receptor agonist,Histamine H3 receptor
Pimasertib,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Sapitinib,Receptor tyrosine-protein kinase erbB-3 inhibitor,Receptor tyrosine-protein kinase erbB-3
Solcitinib,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Kw-2450,Insulin receptor inhibitor,Insulin receptor
Ly-2090314,Glycogen synthase kinase-3 beta inhibitor,Glycogen synthase kinase-3 beta
Riviciclib,Cyclin-dependent kinase 4 inhibitor,Cyclin-dependent kinase 4
Pf-03446962,Serine/threonine-protein kinase receptor R3 inhibitor,Serine/threonine-protein kinase receptor R3
Tg100-115,PI3-kinase p110-gamma subunit inhibitor,PI3-kinase p110-gamma subunit
Etilevodopa,Dopamine D3 receptor agonist,Dopamine D3 receptor
Naronapride,Serotonin 4 (5-HT4) receptor agonist,Serotonin 4 (5-HT4) receptor
Navarixin,Interleukin-8 receptor A antagonist,Interleukin-8 receptor A
Ubrogepant,Calcitonin gene-related peptide type 1 receptor antagonist,Calcitonin gene-related peptide type 1 receptor
Gsk239512,Histamine H3 receptor antagonist,Histamine H3 receptor
Palosuran,Urotensin II receptor antagonist,Urotensin II receptor
Etalocib,Leukotriene B4 receptor 1 antagonist,Leukotriene B4 receptor 1
Fe 202767,Oxytocin receptor agonist,Oxytocin receptor
Ispronicline,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,Neuronal acetylcholine receptor; alpha4/beta2
R428,Tyrosine-protein kinase receptor UFO inhibitor,Tyrosine-protein kinase receptor UFO
Canertinib,Receptor protein-tyrosine kinase erbB-4 inhibitor,Receptor protein-tyrosine kinase erbB-4
Linsitinib,Insulin receptor inhibitor,Insulin receptor
Pacritinib,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Senicapoc,Intermediate conductance calcium-activated potassium channel protein 4 blocker,Intermediate conductance calcium-activated potassium channel protein 4
Gaboxadol,GABA-A receptor; agonist GABA site agonist,GABA-A receptor; agonist GABA site
Echothiophate,Acetylcholinesterase inhibitor,Acetylcholinesterase
Talimogene Laherparepvec,Melanoma cells disrupting agent,Melanoma cells
Tezacitabine,Ribonucleoside-diphosphate reductase RR1 inhibitor,Ribonucleoside-diphosphate reductase RR1
Sagopilone,Tubulin stabiliser,Tubulin
Pradigastat,Diacylglycerol O-acyltransferase 1 inhibitor,Diacylglycerol O-acyltransferase 1
Crisaborole,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Atacicept,Tumor necrosis factor ligand superfamily member 13B inhibitor,Tumor necrosis factor ligand superfamily member 13B
Tadocizumab,Integrin alpha-IIb/beta-3 antagonist,Integrin alpha-IIb/beta-3
Ban2401,Beta amyloid A4 protein inhibitor,Beta amyloid A4 protein
Gsk159802,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Lithium Carbonate,Inositol-1(or 4)-monophosphatase 1 inhibitor,Inositol-1(or 4)-monophosphatase 1
Enalaprilat,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Spirapril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Eprosartan,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Torsemide,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Sodium-(potassium)-chloride cotransporter 2
Dolasetron,Serotonin 3a (5-HT3a) receptor antagonist,Serotonin 3a (5-HT3a) receptor
Citalopram,Serotonin transporter inhibitor,Serotonin transporter
Pasireotide,Somatostatin receptor 1 agonist,Somatostatin receptor 1
Pioglitazone,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Betazole,Histamine H2 receptor agonist,Histamine H2 receptor
Buspirone,Serotonin 1a (5-HT1a) receptor partial agonist,Serotonin 1a (5-HT1a) receptor
Insulin Zinc Susp Purified Beef/Pork,Insulin receptor agonist,Insulin receptor
Loperamide,Mu opioid receptor agonist,Mu opioid receptor
Triamcinolone Acetonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fluorometholone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Rasagiline,Monoamine oxidase B inhibitor,Monoamine oxidase B
Polyestradiol Phosphate,Estrogen receptor alpha agonist,Estrogen receptor alpha
Natalizumab,Integrin alpha-4/beta-7 inhibitor,Integrin alpha-4/beta-7
Glyburide,"Sulfonylurea receptor 1, Kir6.2 blocker","Sulfonylurea receptor 1, Kir6.2"
Dronedarone,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
Dantrolene,Ryanodine receptor 3 antagonist,Ryanodine receptor 3
Piperazine Citrate,Nematode GABA-A receptor positive modulator,Nematode GABA-A receptor
Amprenavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Lypressin,Vasopressin receptor agonist,Vasopressin receptor
Sulfacetamide,Bacterial dihydropteroate synthase inhibitor,Bacterial dihydropteroate synthase
Cephapirin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Chloramphenicol,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Mechlorethamine,DNA inhibitor,DNA
Idarubicin,DNA inhibitor,DNA
Ciprofloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Lurasidone,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Troleandomycin,70S ribosome inhibitor,70S ribosome
Guanidine,Voltage-gated potassium channel blocker,Voltage-gated potassium channel
Tromethamine,Unknown,
Azelaic Acid,Unknown,
Brexpiprazole,Serotonin 1a (5-HT1a) receptor partial agonist,Serotonin 1a (5-HT1a) receptor
