SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
"Chlorzoxazone (BAN, FDA, INN, JAN, USP);",M03BB73; M03BB03; M03BB53,"M03BB73 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]; M03BB03 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]; M03BB53 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]",Relaxant (skeletal muscle)
Reposal,N05CA12,"N05CA12 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Barbiturates, plain]",
"Fenfluramine (BAN, INN); Fenfluramine HCl (USAN);",A08AA02,"A08AA02 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Centrally acting antiobesity products]",Anorexic
"Bevantolol (BAN, INN); Bevantolol HCl (JAN, USAN);",C07AB06,"C07AB06 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, selective]",Cardiac Depressant (anti-arrhythmic); Antihypertensive; Anti-Anginal
Formalin (JAN); Formaldehyde (USP);,,,Disinfectant
MK-0686,,,
"Adinazolam Mesylate (USAN); Adinazolam (BAN, INN, USAN);",N05BA07,N05BA07 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives],"Antidepressant,Antidepressant; Sedative-Hypnotic"
"Levocarnitine (BAN, FDA, INN, USAN, USP); Levocarnitine Chloride (INN, JAN);",A16AA01,A16AA01 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Amino acids and derivatives],Replenisher (carnitine)
"Butamben Picrate (USAN); Butamben (USAN, USP);",,,Anesthetic (topical)
"Reboxetine (BAN, INN); Reboxetine Mesylate (USAN);",N06AX18,N06AX18 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],
"Clotrimazole (BAN, FDA, INN, JAN, USAN, USP);",D01AC01; A01AB18; G01AF02,"D01AC01 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Imidazole and triazole derivatives]; A01AB18 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]; G01AF02 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]",Antifungal
"L-MENTHOL (JAN); Levomenthol (BAN, INN);",,,
Chlorproethazine HCl (MI); Chlorproethazine (INN);,N05AA07,N05AA07 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with aliphatic side-chain],
"Efipladib (INN, USAN);",,,
"Bromperidol (BAN, INN, JAN, USAN);",N05AD06,N05AD06 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Butyrophenone derivatives],Antipsychotic
"Famotidine (BAN, FDA, INN, JAN, USAN, USP);",A02BA03; A02BA53,A02BA03 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): H2-receptor antagonists]; A02BA53 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): H2-receptor antagonists],Antagonist (to histamine-H2 receptors)
"Esketamine (BAN, INN, USAN); Esketamine HCl (USAN);",N01AX14,"N01AX14 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, GENERAL: Other general anesthetics]",
"Benorilate (BAN, DCF, INN, MI);",N02BA10,N02BA10 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Salicylic acid and derivatives],
"Acesulfame (BAN, INN, MI); Acesulfame Potassium (NF);",,,
Axamozide (INN);,,,
"Fenpiprane (BAN, INN);",A03AX01,A03AX01 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Other drugs for functional gastrointestinal disorders],
"Bufetolol HCl (JAN); Bufetolol (INN, MI);",,,
"Ephedrine Sulfate (FDA, USP); Ephedrine HCl (BAN, JAN, USP); Ephedrine Sulphate (BAN); Ephedrine (BAN, USP);",R01AA03; R01AB05; C01CA26; A08AA56; S01FB02,"R01AA03 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, plain]; R01AB05 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, combinations excl. corticosteroids]; C01CA26 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents]; A08AA56 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Centrally acting antiobesity products]; S01FB02 [SENSORY ORGANS: OPHTHALMOLOGICALS: MYDRIATICS AND CYCLOPLEGICS: Sympathomimetics excl. antiglaucoma preparations]","Adrenergic,Bronchodilator"
Alfatradiol (INN);,,,
Aditoprim (INN);,,,
"Daniquidone (BAN, INN);",,,
"Triflupromazine (BAN, FDA, INN, USP); Triflupromazine HCl (FDA, JAN, USP);",N05AA05,N05AA05 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with aliphatic side-chain],Antipsychotic
"Debrisoquin Sulfate (USAN); Debrisoquine (BAN, INN);",C02CC04,"C02CC04 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING: Guanidine derivatives]",Antihypertensive
Dioxifedrine (INN);,,,
"Enofelast (INN, USAN);",,,Anti-Asthmatic
"Oxybutynin HCl (JAN); Oxybutynin (BAN, FDA, INN, USAN); Oxybutynin Chloride (FDA, USAN, USP);",G04BD04,G04BD04 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Drugs for urinary frequency and incontinence],Anticholinergic
Methyldopa (racemic),C02AB02,"C02AB02 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, CENTRALLY ACTING: Methyldopa]",
"Imidaprilat (BAN, INN);",,,
Oxeclosporin (INN);,,,
Barasertib (INN);,,,
"Glucosamine (INN, NF, USAN); Glucosamine HCl (NF);",M01AX05,"M01AX05 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Other antiinflammatory and antirheumatic agents, non-steroids]",Pharmaceutic Aid
Afalanine (INN);,,,
"Utibaprilat (BAN, INN);",,,
"Alphamethadol (BAN, DCF, INN);",,,
"Deslanoside (BAN, FDA, INN, JAN, USP);",C01AA07,C01AA07 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC GLYCOSIDES: Digitalis glycosides],Cardiotonic
"Rosaramicin Sodium Phosphate (USAN); Rosaramicin Stearate (USAN); Rosaramicin (BAN, INN, USAN);",,,Antibacterial
Talipexole (INN);,,,
PKI-179,,,
"Phenothiazine (INN, MI, NF);",,,
"Parecoxib sodium (USAN); Parecoxib (BAN, INN, USAN);",M01AH04,"M01AH04 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Coxibs]",
"Tropisetron (BAN, INN);",A04AA03,A04AA03 [ALIMENTARY TRACT AND METABOLISM: ANTIEMETICS AND ANTINAUSEANTS: ANTIEMETICS AND ANTINAUSEANTS: Serotonin (5HT3) antagonists],
"Apixaban (FDA, INN, USAN);",B01AF02,B01AF02 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Direct factor Xa inhibitors],
"Bumetanide (BAN, FDA, INN, JAN, USAN, USP);",C03CA02,"C03CA02 [CARDIOVASCULAR SYSTEM: DIURETICS: HIGH-CEILING DIURETICS: Sulfonamides, plain]",Diuretic
"Emetine (BAN, BAN); Emetine HCl (USP);",P01AX52; P01AX02,"P01AX52 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Other agents against amoebiasis and other protozoal diseases]; P01AX02 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Other agents against amoebiasis and other protozoal diseases]",Anti-Amebic
Darbufelone mesylate (USAN); Darbufelone (INN);,,,
Tretazicar (INN);,,,
"Leucine (INN, USAN, USP); L-Leucine (JAN);",,,Amino Acid
Milciclib (INN);,,,
"Norethindrone acetate (FDA, USP);",,,Progestin
"Fluphenazine (BAN, INN); Fluphenazine Enanthate (FDA, JAN, USP); Fluphenazine Maleate (JAN);",N05AB02,N05AB02 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with piperazine structure],Antipsychotic
"Paroxetine HCl (FDA, USP); Paroxetine mesylate (FDA, USAN); Paroxetine (BAN, INN, USAN, USP);",N06AB05,N06AB05 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Selective serotonin reuptake inhibitors],Antidepressant
"Levofloxacin (BAN, FDA, INN, JAN, USAN);",S01AE05; J01MA12,S01AE05 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFECTIVES: Fluoroquinolones]; J01MA12 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: QUINOLONE ANTIBACTERIALS: Fluoroquinolones],Antibacterial
"Rizatriptan Sulfate (USAN); Rizatriptan Benzoate (FDA, USAN); Rizatriptan (BAN, INN);",N02CC04,N02CC04 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Selective serotonin (5HT1) agonists],Antimigraine
"Doxenitoin (DCF, INN, MI);",,,
Gepirone (INN); Gepirone HCl (USAN);,N06AX19,N06AX19 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],Tranquilizer
"Razoxane (BAN, INN, MI);",,,
"Farampator (INN, USAN);",,,
Dexrabeprazole,A02BC07,A02BC07 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Proton pump inhibitors],
"Desipramine (BAN, INN); Desipramine HCl (FDA, JAN, USAN, USP);",N06AA01,N06AA01 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors],Antidepressant
"Temsirolimus (FDA, INN, USAN);",L01XE09,L01XE09 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
Fotretamine (INN);,,,
"Beractant (BAN, FDA, USAN);",,,Pulmonary Surfactant
"Methetoin (USAN); Metetoin (BAN, INN);",,,Anticonvulsant
"Hyaluronidase (BAN, FDA, INN, USAN, USP);",B06AA03,B06AA03 [BLOOD AND BLOOD FORMING ORGANS: OTHER HEMATOLOGICAL AGENTS: OTHER HEMATOLOGICAL AGENTS: Enzymes],
Sunitinib (INN); Sunitinib Malate (FDA);,L01XE04,L01XE04 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
"Phenformin HCl (MI, USP); Phenformin (BAN, INN);",A10BA01,"A10BA01 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Biguanides]",
Etoprine (USAN);,,,Antineoplastic
"Sultiame (DCF, INN, JAN); Sulthiame (BAN, USAN);",N03AX03,N03AX03 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Other antiepileptics],Anticonvulsant
"Sodium Polystyrene Sulfonate (FDA, USP);",V03AE01,V03AE01 [VARIOUS: ALL OTHER THERAPEUTIC PRODUCTS: ALL OTHER THERAPEUTIC PRODUCTS: Drugs for treatment of hyperkalemia and hyperphosphatemia],Ion-Exchange Resin (potassium)
"Succimer (BAN, FDA, INN, USAN);",,,Diagnostic Aid
Technetium Tc 99M (Pyro- And Trimeta-) Phosphates (USP); Technetium Tc-99M Pyro/Trimeta Phosphates Kit (FDA);,,,Radioactive Agent
Croconazole (INN); Croconazole HCl (JAN);,,,
"Ornithine (INN, MI);",,,
"Diltiazem (BAN, INN); Diltiazem Malate (FDA, USAN); Diltiazem HCl (FDA, JAN, USAN, USP);",C05AE03; C08DB01,C05AE03 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE: Muscle relaxants]; C08DB01 [CARDIOVASCULAR SYSTEM: CALCIUM CHANNEL BLOCKERS: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS: Benzothiazepine derivatives],"Antihypertensive,Vasodilator (coronary)"
Clorophene (USAN); Clorofene (INN);,,,Disinfectant
"Alisertib Sodium (USAN); Alisertib (INN, USAN);",,,
"Mitoguazone (DCF, INN, MI);",L01XX16,L01XX16 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Other antineoplastic agents],
"Norfenefrine HCl (JAN); Norfenefrine (INN, MI);",C01CA05,C01CA05 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents],
Tasuldine (INN);,,,
Isavuconazole (INN);,J02AC05,J02AC05 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: Triazole derivatives],
Ethyl chloride (USP);,N01BX01,"N01BX01 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, LOCAL: Other local anesthetics]",Anesthetic (topical)
"Ampiroxicam (BAN, INN, JAN);",,,
"Sotrastaurin Acetate (USAN); Sotrastaurin (INN, USAN);",,,
"Etofenamate (BAN, INN, USAN);",M02AA06,"M02AA06 [MUSCULO-SKELETAL SYSTEM: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: Antiinflammatory preparations, non-steroids for topical use]",Analgesic; Anti-Inflammatory
"Nintedanib Esylate (FDA, USAN); Nintedanib (INN, USAN);",L01XE31,L01XE31 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
Sodium Bromide (JAN);,,,
"Glysobuzole (BAN, DCF, INN);",,,
"Edoxudine (INN, USAN);",D06BB09,D06BB09 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Antivirals],Antiviral
"Tazarotene (BAN, FDA, INN, USAN);",D05AX05,D05AX05 [DERMATOLOGICALS: ANTIPSORIATICS: ANTIPSORIATICS FOR TOPICAL USE: Other antipsoriatics for topical use],Keratolytic
"Trifluomeprazine (BAN, INN, MI);",,,
"Trazodone HCl (FDA, JAN, USAN, USP); Trazodone (BAN, INN);",N06AX05,N06AX05 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],Antidepressant
Metaterol (INN);,,,
Demoxytocin (INN);,H01BB01,"H01BB01 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: POSTERIOR PITUITARY LOBE HORMONES: Oxytocin and analogues]",
"Enrofloxacin (BAN, INN, USAN);",,,Antibacterial (veterinary)
"Prednisone (BAN, FDA, INN, USP);",A07EA03; H02AB07,"A07EA03 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFLAMMATORY AGENTS: Corticosteroids acting locally]; H02AB07 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: CORTICOSTEROIDS FOR SYSTEMIC USE: CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN: Glucocorticoids]",Glucocorticoid
"Oxprenolol HCl (FDA, JAN, USAN, USP); Oxprenolol (BAN, INN);",C07AA02,"C07AA02 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, non-selective]",Vasodilator (coronary)
"Amphotericin B (FDA, INN, JAN, USP); Amphotericin (BAN);",G01AA03; A07AA07; J02AA01; A01AB04,"G01AA03 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Antibiotics]; A07AA07 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFECTIVES: Antibiotics]; J02AA01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: Antibiotics]; A01AB04 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]",Antifungal
Lanepitant (INN);,,,
"Disulfiram (BAN, FDA, INN, JAN, USP);",N07BB01; P03AA04; P03AA54,"N07BB01 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: DRUGS USED IN ADDICTIVE DISORDERS: Drugs used in alcohol dependence]; P03AA04 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES: Sulfur containing products]; P03AA54 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES: Sulfur containing products]",Alcohol Deterrent
"Lorcainide HCl (USAN); Lorcainide (BAN, INN);",C01BC07,"C01BC07 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: ANTIARRHYTHMICS, CLASS I AND III: Antiarrhythmics, class Ic]",Cardiac Depressant (anti-arrhythmic)
"Terbogrel (INN, USAN);",,,
"Sulfanilamide (DCF, FDA, INN, MI, NF);",D06BA05; J01EB06,D06BA05 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Sulfonamides]; J01EB06 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: SULFONAMIDES AND TRIMETHOPRIM: Short-acting sulfonamides],
"Mafenide HCl (MI); Mafenide Acetate (FDA, JAN, USP); Mafenide (BAN, INN, USAN);",D06BA03,D06BA03 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Sulfonamides],"Anti-Infective, Topical,Antibacterial"
"Flecainide (BAN, INN); Flecainide Acetate (FDA, JAN, USAN, USP);",C01BC04,"C01BC04 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: ANTIARRHYTHMICS, CLASS I AND III: Antiarrhythmics, class Ic]",Cardiac Depressant (anti-arrhythmic)
Succinimide,G04BX10,G04BX10 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Other urologicals],
"Diperodon (BAN, INN, USP);",,,
"Testolactone (FDA, INN, USAN, USP);",,,Antineoplastic
"Piperacillin Sodium (FDA, JAN, USAN, USP); Piperacillin (USP, BAN, INN, USP);",J01CA12,"J01CA12 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Penicillins with extended spectrum]",Antibacterial
"Fluroxene (INN, NF, USAN);",,,Anesthetic (inhalation)
Closiramine Aceturate (USAN);,,,Antihistaminic
"Colesevelam HCl (FDA, USAN);",C10AC04,"C10AC04 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Bile acid sequestrants]",Antihyperlipidemic
"Imiquimod (BAN, FDA, INN, USAN);",D06BB10,D06BB10 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Antivirals],Immunomodulator
Eflumast (INN);,,,
