"K","IncDrugs","EnrichedClusters","Percentage","EnrichedClustersDT","PercentageDT","Pval_ATC","Pval_DT"
106,1309,10,9.43,13,12.26,0.811215140623868,0.0094076294149144
106,1309,20,18.87,13,12.26,0.44640008701941,0.0811658408400773
106,1309,17,16.04,9,8.49,0.24765074650162,0.094160297284208
106,1309,14,13.21,8,7.55,0.106773517904267,0.255774971215284
106,1309,13,12.26,15,14.15,0.545451619462306,0.0911757561985799
106,1309,11,10.38,9,8.49,0.986460145567629,0.601153307687923
106,1309,12,11.32,13,12.26,0.168726364957479,0.0674828162951022
106,1309,11,10.38,5,4.72,0.79754541594758,0.792091200137836
106,1309,15,14.15,4,3.77,0.740210264901727,0.959826663032827
106,1309,12,11.32,5,4.72,0.811311949549161,0.808208221825991
106,1309,15,14.15,8,7.55,0.230153866329258,0.984223355984394
106,1309,19,17.92,10,9.43,0.103641318611532,0.0341852406373576
106,1309,15,14.15,13,12.26,0.712724690531629,0.923369328293812
106,1309,13,12.26,13,12.26,0.707184094794092,0.297664243785137
106,1309,12,11.32,13,12.26,0.407828918413915,0.277372979763503
106,1309,10,9.43,0,0,0.643633645758057,0.19662034216496
106,1309,16,15.09,10,9.43,0.976546724947093,0.670278674588246
106,1309,13,12.26,13,12.26,0.165209146661465,0.974843973154305
106,1309,19,17.92,9,8.49,0.288159191460695,0.31462520966266
106,1309,18,16.98,7,6.6,0.827427111139741,0.8484458842576
106,1309,11,10.38,10,9.43,0.391606152985655,0.576296438713134
106,1309,13,12.26,7,6.6,0.401514693376161,0.819433421527116
106,1309,17,16.04,15,14.15,0.714531004541052,0.130430033726081
106,1309,17,16.04,8,7.55,0.538087308853474,0.421731678360777
106,1309,23,21.7,10,9.43,0.139929209831427,0.462026994404591
106,1309,13,12.26,9,8.49,0.649501747583678,0.492677389278025
106,1309,19,17.92,8,7.55,0.00783292280252205,0.0252933910410585
106,1309,19,17.92,14,13.21,0.193195452920984,0.268398849162477
106,1309,14,13.21,6,5.66,0.563608434103824,0.133216542921323
106,1309,14,13.21,4,3.77,0.885893372336495,0.118054470141886
106,1309,14,13.21,9,8.49,0.907751942141048,0.385819461701395
106,1309,16,15.09,12,11.32,0.232644211548121,0.344142427505607
106,1309,16,15.09,16,15.09,0.0669737419976686,0.423315966105177
106,1309,12,11.32,10,9.43,0.779812158462106,0.434634253511367
106,1309,8,7.55,7,6.6,0.977124658414245,0.168448515404817
106,1309,14,13.21,7,6.6,0.826109192751929,0.879845419882101
106,1309,15,14.15,1,0.94,0.133887056807077,0.331533522418585
106,1309,11,10.38,5,4.72,0.998749679633169,0.826068268957936
106,1309,9,8.49,9,8.49,0.85785216866347,0.457960436689127
106,1309,16,15.09,4,3.77,0.628415845820788,0.225246251494397
106,1309,13,12.26,7,6.6,0.589119992092813,0.993099667560266
106,1309,15,14.15,13,12.26,0.43674155832128,0.219504345212062
106,1309,16,15.09,0,0,0.369058476729315,0.928992712771847
106,1309,10,9.43,1,0.94,0.68752397056583,0.177875621879566
106,1309,12,11.32,8,7.55,0.913097423069478,0.533108437655377
106,1309,19,17.92,7,6.6,0.4274175419409,0.966948736436116
106,1309,14,13.21,9,8.49,0.462747587671091,0.708287746085168
106,1309,17,16.04,8,7.55,0.530403658092173,0.0912516298300925
106,1309,11,10.38,7,6.6,0.492484124404138,0.594516744842372
106,1309,15,14.15,15,14.15,0.525446241427626,0.793214891799075
106,1309,11,10.38,8,7.55,0.961750282828682,0.630079783657053
106,1309,16,15.09,12,11.32,0.556819966481093,0.0354734987291909
106,1309,12,11.32,8,7.55,0.483448916341058,0.0643848198294499
106,1309,13,12.26,6,5.66,0.980372394237633,0.23880897601245
106,1309,17,16.04,12,11.32,0.757290353349945,0.735691079363018
106,1309,16,15.09,10,9.43,0.580632775232748,0.783905884156821
106,1309,17,16.04,21,19.81,0.0254143886039048,0.00616006501443574
106,1309,15,14.15,10,9.43,0.778360991839755,0.218693270794946
106,1309,14,13.21,10,9.43,0.82623497470025,0.395994360738472
106,1309,18,16.98,8,7.55,0.494433764910165,0.794456981685414
106,1309,12,11.32,10,9.43,0.968681128882753,0.494819186370527
106,1309,14,13.21,14,13.21,0.952753911982474,0.745157061860516
106,1309,14,13.21,12,11.32,0.560214760758955,0.662676686730445
106,1309,14,13.21,4,3.77,0.946274969791085,0.145614359043613
106,1309,12,11.32,5,4.72,0.913192946627462,0.484258323821103
106,1309,15,14.15,14,13.21,0.0703044418921016,0.000992838995798128
106,1309,15,14.15,4,3.77,0.449442440061794,0.515099590936423
106,1309,10,9.43,9,8.49,0.772173852386874,0.980192951374952
106,1309,13,12.26,7,6.6,0.657825239765786,0.187770355486362
106,1309,9,8.49,9,8.49,0.988068501430512,0.884293039844239
106,1309,18,16.98,13,12.26,0.0052882668313566,0.126265983069852
106,1309,14,13.21,17,16.04,0.377807177968519,0.931295829090339
106,1309,13,12.26,6,5.66,0.300009188842836,0.790232634282947
106,1309,14,13.21,12,11.32,0.856865133051596,0.724862959184225
106,1309,15,14.15,8,7.55,0.827393145318376,0.25117815394642
106,1309,15,14.15,9,8.49,0.294759928446388,0.971987556459265
106,1309,14,13.21,1,0.94,0.556473502346596,0.192151410223372
106,1309,20,18.87,13,12.26,0.684748632495639,0.271933565503206
106,1309,14,13.21,6,5.66,0.590483232924532,0.845624714777686
106,1309,16,15.09,10,9.43,0.579296305843005,0.758062547892974
106,1309,16,15.09,8,7.55,0.248768343983146,0.114516723294065
106,1309,17,16.04,8,7.55,0.825827227182319,0.745640569822013
106,1309,21,19.81,15,14.15,0.00594649106184685,0.166008004606089
106,1309,13,12.26,13,12.26,0.326647646542005,0.0820317275455313
106,1309,19,17.92,11,10.38,0.529497778568666,0.938899915663415
106,1309,14,13.21,8,7.55,0.286518745153191,0.810715040629324
106,1309,15,14.15,13,12.26,0.700548471771361,0.274065555862988
106,1309,12,11.32,10,9.43,0.885525343834659,0.54086172820099
106,1309,16,15.09,16,15.09,0.479549252354158,0.0155668364809682
106,1309,16,15.09,12,11.32,0.610077363392585,0.29806818183993
106,1309,15,14.15,9,8.49,0.471562141014276,0.234806276513712
106,1309,13,12.26,14,13.21,0.661902733747098,0.841387347750666
106,1309,12,11.32,8,7.55,0.950010313521042,0.959514111832169
106,1309,15,14.15,2,1.89,0.418815997879749,0.982462651600468
106,1309,19,17.92,8,7.55,0.297127183136548,0.792636719238698
106,1309,12,11.32,1,0.94,0.651512164526456,0.981049178388174
106,1309,20,18.87,14,13.21,0.00420946119484057,0.0117745132819007
106,1309,12,11.32,6,5.66,0.723264892355968,3.97330427853396e-05
106,1309,18,16.98,9,8.49,0.0134156238874878,0.0762575062214823
106,1309,15,14.15,18,16.98,0.644902738800556,0.275347019596604
106,1309,13,12.26,1,0.94,0.52859150998652,0.939268357302182
106,1309,9,8.49,7,6.6,0.999517088270584,0.95108082456144
106,1309,14,13.21,0,0,0.886650293582742,0.793554574828432
106,1309,18,16.98,2,1.89,0.00813936260819958,0.549936358146634
106,1309,15,14.15,4,3.77,0.726486630496243,0.895295740481956
106,1309,18,16.98,0,0,0.349345132205111,0.686012177742998
106,1309,13,12.26,5,4.72,0.942453711224613,0.843750140258452
106,1309,16,15.09,10,9.43,0.95110152563217,0.724340038827589
106,1309,15,14.15,0,0,0.802270828148058,0.241762793423248
106,1309,13,12.26,14,13.21,0.869652723374495,0.54429311799174
106,1309,12,11.32,5,4.72,0.758104783072757,0.717964976919144
106,1309,12,11.32,4,3.77,0.782135684441899,0.724059000398369
106,1309,13,12.26,4,3.77,0.976647598355292,0.925786233423045
106,1309,20,18.87,12,11.32,0.228076515788353,0.820015550265446
106,1309,17,16.04,5,4.72,0.647002640664612,0.228206414256185
106,1309,9,8.49,3,2.83,0.924337020238319,0.97328831287212
106,1309,20,18.87,8,7.55,0.356214039335008,0.226862908057108
106,1309,17,16.04,13,12.26,0.755549320677567,0.441747462766718
106,1309,12,11.32,13,12.26,0.920944818036284,0.345011592547352
106,1309,13,12.26,5,4.72,0.935592307238514,0.916067621640109
106,1309,11,10.38,1,0.94,0.62469684616811,0.88675478024361
106,1309,13,12.26,13,12.26,0.920719350260818,0.376440029946393
106,1309,16,15.09,10,9.43,0.984147703720855,0.343011172998368
106,1309,14,13.21,7,6.6,0.178145524511593,0.344508651809617
106,1309,21,19.81,10,9.43,0.484852220929529,0.523760322397294
106,1309,14,13.21,11,10.38,0.971697682367354,0.901762933271772
106,1309,14,13.21,5,4.72,0.181059320572135,0.143995182550491
106,1309,13,12.26,1,0.94,0.982754858130064,0.902328631288953
106,1309,16,15.09,7,6.6,0.741340633173149,0.790535157508894
106,1309,16,15.09,14,13.21,0.282214768332582,0.519088202907452
106,1309,18,16.98,8,7.55,0.413445257589372,0.362853885052339
106,1309,15,14.15,1,0.94,0.682997146885541,0.81730550220947
106,1309,20,18.87,13,12.26,0.429683408947901,0.0559495803768972
106,1309,19,17.92,10,9.43,0.657178997626175,0.355170817064454
106,1309,11,10.38,14,13.21,0.983998551954994,0.0910701430051651
106,1309,12,11.32,9,8.49,0.743934107048584,0.867582764274136
106,1309,15,14.15,6,5.66,0.122613980836322,0.35849203112379
106,1309,15,14.15,9,8.49,0.301737479881988,0.291218732086203
106,1309,18,16.98,13,12.26,0.0322944569944472,0.0989362038742902
106,1309,12,11.32,6,5.66,0.801281798915118,0.761896048615935
106,1309,12,11.32,12,11.32,0.983715378872374,0.429050893505846
106,1309,19,17.92,10,9.43,0.0870429961217084,0.151332364656993
106,1309,16,15.09,7,6.6,0.582270356578548,0.355504626939076
106,1309,13,12.26,11,10.38,0.634909036522036,0.674137420359022
106,1309,14,13.21,2,1.89,0.0699961107704587,0.915906443545724
106,1309,16,15.09,13,12.26,0.795462836127253,0.545999969555531
106,1309,20,18.87,10,9.43,0.201264032025514,0.757071876606051
106,1309,16,15.09,12,11.32,0.580156294377768,0.302194297392347
106,1309,16,15.09,3,2.83,0.513020037781358,0.983159634004315
106,1309,17,16.04,7,6.6,0.0915817882114994,0.380162064061375
106,1309,18,16.98,8,7.55,0.914198650870434,0.95538268454951
106,1309,15,14.15,13,12.26,0.711456431998263,0.311570400460027
106,1309,7,6.6,10,9.43,0.916552359444883,0.708176359983743
106,1309,12,11.32,0,0,0.78535985178432,0.88298957272171
106,1309,16,15.09,6,5.66,0.387629504101966,0.958051217033866
106,1309,12,11.32,10,9.43,0.932769248025565,0.249978797301273
106,1309,19,17.92,12,11.32,0.222922722955964,0.103180551470608
106,1309,16,15.09,0,0,0.0691928276209738,0.0635566005017491
106,1309,17,16.04,12,11.32,0.592163266238473,0.983812319659965
106,1309,14,13.21,12,11.32,0.162022205072558,0.529574312068037
106,1309,21,19.81,8,7.55,0.461221638870182,0.834469543668392
106,1309,16,15.09,12,11.32,0.147097751458638,0.0103836488862538
106,1309,15,14.15,3,2.83,0.750813319650679,0.71909374761156
106,1309,15,14.15,9,8.49,0.857638919594819,0.982138552498975
106,1309,12,11.32,8,7.55,0.978480567081395,0.702911378564699
106,1309,16,15.09,5,4.72,0.634691945136986,0.719756886972037
106,1309,18,16.98,11,10.38,0.721751606430203,0.403640164760808
106,1309,21,19.81,10,9.43,0.0168014223644879,0.285687645840748
106,1309,18,16.98,11,10.38,0.361798861640704,0.56093605065631
106,1309,16,15.09,10,9.43,0.53493704920156,0.823061045780621
106,1309,14,13.21,14,13.21,0.825603159187412,0.0549162707647135
106,1309,22,20.75,13,12.26,0.0322737051106221,0.0639304302966689
106,1309,14,13.21,11,10.38,0.843597778953937,0.772618968654341
106,1309,12,11.32,14,13.21,0.987760989180662,0.231199920276455
106,1309,15,14.15,11,10.38,0.329168960210359,6.97869922590752e-07
106,1309,10,9.43,2,1.89,0.996100104718787,0.627683046043106
106,1309,14,13.21,13,12.26,0.141072134002239,0.0570516141744469
106,1309,16,15.09,7,6.6,0.397896101613434,0.40731994939391
106,1309,16,15.09,11,10.38,0.0547482082903966,0.00748450567585299
106,1309,15,14.15,8,7.55,0.159639870104547,0.874996730152194
106,1309,16,15.09,7,6.6,0.934636876088352,0.853400069404125
106,1309,9,8.49,6,5.66,0.953930666618956,0.314343094693158
106,1309,19,17.92,9,8.49,0.214785333750251,0.0712478345078379
106,1309,15,14.15,10,9.43,0.432403517614381,0.311093819049049
106,1309,16,15.09,0,0,0.243570278473916,0.277459124998522
106,1309,16,15.09,16,15.09,0.339001942779114,0.732154191063728
106,1309,18,16.98,11,10.38,0.441146633384959,0.845674221647038
106,1309,16,15.09,4,3.77,0.302773456588279,0.900113183905504
106,1309,17,16.04,4,3.77,0.969124114227907,0.864449814477822
106,1309,12,11.32,11,10.38,0.979238279392497,0.0561312408503426
106,1309,15,14.15,7,6.6,0.0806025135856689,0.388798079477869
106,1309,12,11.32,10,9.43,0.396636549474415,0.344542923741745
106,1309,16,15.09,10,9.43,0.599184561845843,0.376440029946393
106,1309,16,15.09,10,9.43,0.50627242273438,0.643289087062616
106,1309,17,16.04,9,8.49,0.247195939531147,0.00712525203278906
106,1309,15,14.15,0,0,0.108031839108833,0.161188939716699
106,1309,12,11.32,7,6.6,0.546759828070022,0.41469333808087
106,1309,14,13.21,7,6.6,0.952448659523353,0.994461179353378
106,1309,16,15.09,12,11.32,0.436301171981301,0.841304134851733
106,1309,17,16.04,11,10.38,0.0180495508503002,0.0668501705989178
106,1309,11,10.38,6,5.66,0.9372647088268,0.882559392482104
106,1309,13,12.26,8,7.55,0.375569096557711,0.554330088638924
106,1309,18,16.98,16,15.09,0.261188606874222,0.94736970897285
106,1309,15,14.15,5,4.72,0.534516342766133,0.436900444094218
106,1309,17,16.04,8,7.55,0.143813918523165,0.520021942958219
106,1309,16,15.09,10,9.43,0.252079940736968,0.354749720146866
106,1309,9,8.49,0,0,0.831067722685353,0.450080142784977
106,1309,11,10.38,10,9.43,0.974796567351038,0.343924246864047
106,1309,15,14.15,9,8.49,0.733678179077888,0.0268298614899131
106,1309,11,10.38,7,6.6,0.772173852386874,0.463294816820972
106,1309,17,16.04,5,4.72,0.504921070664201,0.953410716295458
106,1309,16,15.09,0,0,0.144760531686406,0.444333149907229
106,1309,17,16.04,11,10.38,0.661450283265366,0.937338422231485
106,1309,18,16.98,11,10.38,0.218840922273567,0.0414440482623956
106,1309,20,18.87,11,10.38,0.224767556140417,0.994005099428401
106,1309,21,19.81,14,13.21,0.0347022338943366,0.221295544085534
106,1309,17,16.04,4,3.77,0.221322316880358,0.756644306893253
106,1309,14,13.21,5,4.72,0.970140590083716,0.797214328684049
106,1309,14,13.21,10,9.43,0.479660512340305,0.807364910909647
106,1309,19,17.92,5,4.72,0.465839813169417,0.102011538149815
106,1309,14,13.21,19,17.92,0.528950651215409,0.0672853357140821
106,1309,8,7.55,3,2.83,0.998177214382614,0.996624755415654
106,1309,10,9.43,4,3.77,0.998624012292063,0.922276534607568
106,1309,10,9.43,11,10.38,0.865215280431437,0.540732142144453
106,1309,12,11.32,6,5.66,0.534954964872245,0.00484321687237618
106,1309,18,16.98,14,13.21,0.0681732650722315,0.200026157961281
106,1309,16,15.09,6,5.66,0.823252101066722,0.85594335653136
106,1309,20,18.87,17,16.04,0.022569802954387,0.0676695755721028
106,1309,14,13.21,11,10.38,0.275613034191805,0.839857042284009
106,1309,24,22.64,9,8.49,0.0135368989581825,0.0911767792010326
106,1309,13,12.26,2,1.89,0.957957950176589,0.81730550220947
106,1309,15,14.15,5,4.72,0.951961165685866,0.948104280547986
106,1309,17,16.04,7,6.6,0.346897978688505,0.317308104333269
106,1309,15,14.15,6,5.66,0.652730208887459,0.962722288686375
106,1309,16,15.09,13,12.26,0.398968741099125,0.24131168912301
106,1309,12,11.32,12,11.32,0.702015231473069,0.690121721051499
106,1309,15,14.15,5,4.72,0.735826745489715,0.9702887579616
106,1309,16,15.09,2,1.89,0.696994393142329,0.468072869003658
106,1309,17,16.04,8,7.55,0.482881489199363,0.858516080037066
106,1309,17,16.04,13,12.26,0.0988893259639987,0.382892902346815
106,1309,12,11.32,9,8.49,0.578251488866559,0.192696271045658
106,1309,16,15.09,6,5.66,0.211041641807504,0.76310329362632
106,1309,14,13.21,3,2.83,0.178275670159683,0.180107953700834
106,1309,15,14.15,6,5.66,0.42992254592639,0.835259024813312
106,1309,16,15.09,12,11.32,0.362841363092838,0.732044401673366
106,1309,8,7.55,0,0,0.755200174899597,0.497439173658907
106,1309,13,12.26,4,3.77,0.876245746252501,0.991347774084493
106,1309,16,15.09,11,10.38,0.00950289864692431,0.113358873733323
106,1309,11,10.38,8,7.55,0.850343534022027,0.880588817658001
106,1309,14,13.21,14,13.21,0.60353053435947,0.0267323856466354
106,1309,10,9.43,7,6.6,0.716871343043434,0.408736820200549
106,1309,14,13.21,4,3.77,0.0160749710579145,0.51684415439707
106,1309,15,14.15,7,6.6,0.63714916562277,0.258835799859972
106,1309,10,9.43,0,0,0.603307303552759,0.998945557744624
106,1309,11,10.38,0,0,0.3597481213724,0.190400497293725
