"cID"	"DRUGS"
"idoxuridine"	16	"idoxuridine"
"ifenprodil"	90	"ifenprodil"
"ifosfamide"	13	"ifosfamide"
"ikarugamycin"	4	"ikarugamycin"
"iloprost"	98	"iloprost"
"imatinib"	65	"imatinib"
"imidurea"	41	"imidurea"
"imipenem"	74	"imipenem"
"imipramine"	100	"imipramine"
"indapamide"	20	"indapamide"
"indometacin"	44	"indometacin"
"indoprofen"	67	"indoprofen"
"iobenguane"	61	"iobenguane"
"iocetamic_acid"	92	"iocetamic_acid"
"iodixanol"	97	"iodixanol"
"iohexol"	72	"iohexol"
"ionomycin"	40	"ionomycin"
"iopamidol"	29	"iopamidol"
"iopanoic_acid"	82	"iopanoic_acid"
"iopromide"	83	"iopromide"
"ioversol"	52	"ioversol"
"ioxaglic_acid"	87	"ioxaglic_acid"
"ipratropium_bromide"	89	"ipratropium_bromide"
"iproniazid"	80	"iproniazid"
"irinotecan"	32	"irinotecan"
"isocarboxazid"	5	"isocarboxazid"
"isoconazole"	34	"isoconazole"
"isoetarine"	46	"isoetarine"
"isoflupredone"	27	"isoflupredone"
"isometheptene"	27	"isometheptene"
"isoniazid"	29	"isoniazid"
"isopropamide_iodide"	39	"isopropamide_iodide"
"isosorbide"	66	"isosorbide"
"isotretinoin"	40	"isotretinoin"
"isoxicam"	27	"isoxicam"
"isoxsuprine"	31	"isoxsuprine"
"isradipine"	62	"isradipine"
"ivermectin"	100	"ivermectin"
"josamycin"	60	"josamycin"
"kaempferol"	3	"kaempferol"
"kanamycin"	49	"kanamycin"
"karakoline"	66	"karakoline"
"kawain"	101	"kawain"
"ketanserin"	90	"ketanserin"
"ketoconazole"	88	"ketoconazole"
"ketoprofen"	89	"ketoprofen"
"ketorolac"	74	"ketorolac"
"ketotifen"	27	"ketotifen"
"khellin"	38	"khellin"
"kinetin"	55	"kinetin"
"labetalol"	13	"labetalol"
"lactobionic_acid"	68	"lactobionic_acid"
"lanatoside_C"	63	"lanatoside_C"
"lansoprazole"	87	"lansoprazole"
"lasalocid"	100	"lasalocid"
